SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
212715,0,Cash loans,F,N,Y,0,72000.0,98910.0,8059.5,90000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.018801,-21817,365243,-9062.0,-4318,,1,0,0,1,1,0,,2.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.1582991364620886,0.6801388218428291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
153845,0,Cash loans,F,N,N,0,90000.0,45000.0,4450.5,45000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-16823,-1121,-2818.0,-374,,1,1,0,1,0,0,Accountants,2.0,2,2,SUNDAY,12,0,0,0,0,0,0,Business Entity Type 2,0.8401301059060042,0.5284263886133673,,0.1227,,0.9801,,,0.0,0.2069,0.1667,,,,0.104,,0.0,0.125,,0.9801,,,0.0,0.2069,0.1667,,,,0.1083,,0.0,0.1239,,0.9801,,,0.0,0.2069,0.1667,,,,0.1059,,0.0,,block of flats,0.0885,Panel,No,12.0,0.0,12.0,0.0,-532.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6.0,0.0,0.0
253548,0,Cash loans,M,N,Y,0,144000.0,518562.0,25078.5,463500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.035792,-8121,-659,-4012.0,-752,,1,1,0,1,0,0,Laborers,1.0,2,2,SATURDAY,16,0,0,0,0,1,1,Business Entity Type 3,0.1693297637368078,0.4221146777805548,,0.0165,0.0,0.9791,,,0.0,0.069,0.0417,,0.0077,,0.0094,,0.0187,0.0168,0.0,0.9791,,,0.0,0.069,0.0417,,0.0078,,0.0098,,0.0198,0.0167,0.0,0.9791,,,0.0,0.069,0.0417,,0.0078,,0.0096,,0.0191,,block of flats,0.0114,"Stone, brick",No,0.0,0.0,0.0,0.0,-477.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
133988,0,Cash loans,F,Y,Y,0,180000.0,533668.5,37273.5,477000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.022625,-19021,-4544,-1260.0,-2211,4.0,1,1,0,1,0,0,Sales staff,2.0,2,2,WEDNESDAY,14,0,0,0,0,1,1,Self-employed,0.6143767458585927,0.5887101802460999,0.7421816117614419,0.1567,,0.996,,,0.08,0.0345,0.7083,,,,0.1476,,0.5721,0.1597,,0.996,,,0.0806,0.0345,0.7083,,,,0.1538,,0.6056,0.1582,,0.996,,,0.08,0.0345,0.7083,,,,0.1503,,0.584,,block of flats,0.1546,"Stone, brick",No,3.0,0.0,3.0,0.0,-2101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
144662,0,Cash loans,F,N,N,0,90000.0,147888.0,8388.0,117000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.008625,-20702,365243,-12572.0,-3911,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.2655974314944134,0.3201633668633456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,0.0,-119.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
173319,0,Cash loans,M,Y,Y,1,202500.0,891072.0,36423.0,720000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.0072739999999999,-8814,-818,-3650.0,-1443,5.0,1,1,0,1,0,0,Drivers,3.0,2,2,FRIDAY,13,0,1,1,0,1,1,Trade: type 2,0.3102089875418399,0.6694640165406092,0.5190973382084597,0.0309,0.0341,0.9911,0.8776,0.0151,0.0,0.069,0.1667,0.2083,0.0207,0.0252,0.0158,0.0,0.0,0.0315,0.0354,0.9911,0.8824,0.0152,0.0,0.069,0.1667,0.2083,0.0211,0.0275,0.0164,0.0,0.0,0.0312,0.0341,0.9911,0.8792,0.0152,0.0,0.069,0.1667,0.2083,0.021,0.0257,0.0161,0.0,0.0,not specified,block of flats,0.0211,"Stone, brick",No,0.0,0.0,0.0,0.0,-237.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
370783,0,Cash loans,F,Y,N,0,270000.0,808650.0,26086.5,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.072508,-9724,-680,-2838.0,-171,1.0,1,1,1,1,0,0,,1.0,1,1,FRIDAY,19,0,0,0,0,0,0,Business Entity Type 1,0.4072937816522976,0.7028923444313192,,0.3165,0.028,0.9737,0.6396,0.0,0.4,0.3448,0.2917,0.3333,0.0,0.258,0.3547,0.0,0.1017,0.3225,0.0291,0.9737,0.6537,0.0,0.4028,0.3448,0.2917,0.3333,0.0,0.2819,0.3696,0.0,0.1077,0.3196,0.028,0.9737,0.6444,0.0,0.4,0.3448,0.2917,0.3333,0.0,0.2625,0.3611,0.0,0.1039,reg oper account,block of flats,0.3011,"Stone, brick",No,0.0,0.0,0.0,0.0,-597.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
171185,0,Cash loans,M,N,N,0,135000.0,742500.0,21838.5,742500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-9885,-2587,-4320.0,-2303,,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,12,0,0,0,1,1,0,Business Entity Type 3,0.364042958247262,0.6649874059556135,0.6058362647264226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
378459,0,Cash loans,F,N,Y,1,225000.0,807984.0,26833.5,697500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.010643,-15651,-7133,-7346.0,-4652,,1,1,0,1,0,0,Sales staff,2.0,2,2,MONDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.7531968059098835,0.5797274227921155,0.0144,,0.9662,,,0.0,0.0345,0.0417,,,,0.0065,,,0.0147,,0.9662,,,0.0,0.0345,0.0417,,,,0.0068,,,0.0146,,0.9662,,,0.0,0.0345,0.0417,,,,0.0067,,,,block of flats,0.008,"Stone, brick",No,0.0,0.0,0.0,0.0,-1060.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
349756,1,Cash loans,F,N,Y,0,112500.0,942300.0,27679.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.020246,-13987,-242,-7982.0,-1766,,1,1,0,1,0,0,Sales staff,2.0,3,3,SUNDAY,8,0,0,0,0,0,0,Self-employed,0.6122384313589395,0.0335213315480106,0.501075160239048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-664.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
416342,0,Cash loans,F,Y,Y,0,58500.0,1129500.0,35595.0,1129500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,-18840,-1015,-7918.0,-2274,13.0,1,1,1,1,1,0,,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Government,0.5529204950805581,0.664173352242913,0.4866531565147181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1262.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101376,0,Cash loans,F,N,N,0,135000.0,582228.0,18778.5,486000.0,Family,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.030755,-20518,-4891,-3.0,-3976,,1,1,0,1,0,0,Security staff,1.0,2,2,FRIDAY,13,0,0,0,0,0,0,Government,,0.6021053473256154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1404.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106572,0,Cash loans,F,Y,Y,0,54000.0,203760.0,13617.0,180000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010556,-10467,-1576,-453.0,-2934,64.0,1,1,1,1,1,0,Managers,2.0,3,3,WEDNESDAY,11,0,0,0,0,0,0,Other,0.3421509143506204,0.3596404825711051,0.3474182272002641,0.0711,0.1265,0.9891,0.8504,0.0934,0.0,0.1034,0.125,0.1667,0.0259,0.058,0.0776,0.0,0.0,0.0725,0.1313,0.9891,0.8563,0.0943,0.0,0.1034,0.125,0.1667,0.0265,0.0634,0.0809,0.0,0.0,0.0718,0.1265,0.9891,0.8524,0.094,0.0,0.1034,0.125,0.1667,0.0263,0.059,0.079,0.0,0.0,reg oper account,block of flats,0.1121,"Stone, brick",No,3.0,0.0,3.0,0.0,-352.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
437312,0,Cash loans,F,N,N,0,144000.0,900000.0,38133.0,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-16233,-5017,-5490.0,-471,,1,1,1,1,0,0,Laborers,2.0,2,2,WEDNESDAY,12,0,0,0,0,1,1,Government,,0.4956612773367594,0.3825018041447388,0.0722,0.0836,0.9781,0.7008,0.0073,0.0,0.1379,0.1667,0.2083,0.0579,0.0588,0.0678,0.0,0.0,0.0735,0.0867,0.9782,0.7125,0.0074,0.0,0.1379,0.1667,0.2083,0.0592,0.0643,0.0707,0.0,0.0,0.0729,0.0836,0.9781,0.7048,0.0073,0.0,0.1379,0.1667,0.2083,0.0589,0.0599,0.0691,0.0,0.0,reg oper account,block of flats,0.0534,Block,No,0.0,0.0,0.0,0.0,-448.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
434842,0,Cash loans,M,N,N,0,180000.0,254700.0,27558.0,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,With parents,0.006629,-9980,-1534,-9775.0,-1480,,1,1,0,1,0,0,Drivers,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Government,,0.3047284559904886,0.7180328113294772,,,0.9851,,,,0.069,0.0363,,,,,,,,,0.9841,,,,0.069,0.0417,,,,,,,,,0.9846,,,,0.069,0.0417,,,,,,,,block of flats,0.0166,Wooden,No,3.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
300774,0,Cash loans,M,Y,Y,0,180000.0,755190.0,36459.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.001276,-12101,-851,-4389.0,-4389,17.0,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,5,0,0,0,0,0,0,Transport: type 4,0.2923748058756465,0.5799253375926804,0.7252764347002191,0.0629,0.0,0.9821,0.7552,0.0092,0.0,0.0345,0.1667,0.0417,0.0393,0.0504,0.0317,0.0039,0.0267,0.0641,0.0,0.9821,0.7648,0.0093,0.0,0.0345,0.1667,0.0417,0.0402,0.0551,0.033,0.0039,0.0283,0.0635,0.0,0.9821,0.7585,0.0092,0.0,0.0345,0.1667,0.0417,0.0399,0.0513,0.0323,0.0039,0.0273,reg oper account,block of flats,0.0357,"Stone, brick",No,0.0,0.0,0.0,0.0,-636.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
